iter	RMSE
0	141.1738439
1	117.1156025
2	96.90055137
3	80.76684651
4	68.01475673
5	57.48232449
6	48.97371475
7	42.55292352
8	36.70394861
9	32.19119727
10	28.78373603
11	25.90348229
12	23.43511245
13	21.5509411
14	20.08117638
15	18.68640706
16	17.61657438
17	16.88262762
18	16.17567735
19	15.6316648
20	15.56306088
21	15.02114862
22	14.53350818
23	14.02084597
24	13.6461472
25	13.35847916
26	13.04788932
27	12.67211475
28	12.33290932
29	12.10165775
30	11.93257882
31	11.81073793
32	11.63857909
33	11.47604935
34	11.24255583
35	11.10960212
36	10.96641965
37	10.80998872
38	10.70636372
39	10.53172552
40	10.4008552
41	10.30021663
42	10.12020518
43	10.07165344
44	9.951856383
45	9.870698813
46	9.774636029
47	9.714921412
48	9.644269434
49	9.583927388
50	9.472506809
51	9.408777088
52	9.316200715
53	9.233665756
54	9.119958622
55	9.024211138
56	8.963405301
57	8.895844643
58	8.839182507
59	8.775529234
60	8.693580748
61	8.628368557
62	8.591710834
63	8.520888751
64	8.411826509
65	8.299870394
66	8.284289317
67	8.198358768
68	8.088356472
69	8.046409259
70	7.994659072
71	7.902394455
72	7.800052331
73	7.735801066
74	7.678296056
75	7.660847646
76	7.618132774
77	7.579108691
78	7.547498196
79	7.483575095
80	7.436951255
81	7.408445689
82	7.350938803
83	7.244741938
84	7.225338096
85	7.206755361
86	7.169788255
87	7.145727468
88	7.115919634
89	7.092702768
90	7.028425537
91	7.001469612
92	6.953367566
93	6.916336784
94	6.874478132
95	6.837916911
96	6.815136925
97	6.779089198
98	6.738307812
99	6.711908409
100	6.670988412
101	6.64290675
102	6.597374177
103	6.567628449
104	6.548798497
105	6.505220839
106	6.470971048
107	6.436086702
108	6.414770737
109	6.375142103
110	6.333417246
111	6.325137236
112	6.293357345
113	6.270854576
114	6.240487534
115	6.21543667
116	6.180935289
117	6.173786036
118	6.147023376
119	6.082057839
120	6.048209412
121	6.019974764
122	5.987557516
123	5.959816003
124	5.950481287
125	5.898077328
126	5.869043392
127	5.854408259
128	5.834965997
129	5.812271482
130	5.78980973
131	5.785855035
132	5.768293259
133	5.740785841
134	5.712869501
135	5.702855007
136	5.683397941
137	5.640394573
138	5.612110634
139	5.593187387
140	5.586128043
141	5.561897013
142	5.551886231
143	5.529964697
144	5.512803353
145	5.505707857
146	5.472207212
147	5.46310003
148	5.446211242
149	5.424209477
150	5.410197785
151	5.396692436
152	5.377009527
153	5.361272257
154	5.349532714
155	5.326764709
156	5.283493975
157	5.271750059
