iter	Passed	Remaining
0	20	10290
1	39	9802
2	54	9072
3	69	8666
4	83	8274
5	93	7709
6	101	7162
7	109	6704
8	115	6315
9	122	5978
10	127	5685
11	133	5422
12	138	5200
13	144	5006
14	149	4834
15	154	4685
16	160	4554
17	165	4433
18	170	4327
19	176	4230
20	178	4069
21	183	3990
22	189	3920
23	194	3853
24	199	3793
25	204	3735
26	210	3682
27	215	3632
28	220	3586
29	226	3542
30	231	3499
31	236	3459
32	241	3423
33	247	3387
34	252	3354
35	257	3322
36	263	3300
37	269	3272
38	274	3244
39	279	3217
40	285	3191
41	290	3167
42	295	3143
43	301	3119
44	306	3096
45	311	3074
46	316	3053
47	321	3031
48	327	3011
49	332	2992
50	337	2973
51	343	2955
52	348	2938
53	353	2921
54	358	2904
55	364	2888
56	369	2873
57	375	2857
58	380	2841
59	385	2826
60	390	2812
61	396	2799
62	401	2783
63	406	2770
64	412	2757
65	417	2744
66	422	2731
67	428	2719
68	433	2707
69	438	2695
70	444	2683
71	449	2672
72	454	2660
73	460	2648
74	465	2637
75	470	2626
76	476	2615
77	481	2604
78	486	2593
79	492	2583
80	497	2573
81	503	2564
82	508	2555
83	514	2546
84	517	2528
85	523	2518
86	528	2508
87	534	2500
88	539	2491
89	544	2482
90	550	2475
91	556	2467
92	561	2458
93	568	2453
94	574	2447
95	579	2439
96	585	2430
97	590	2422
98	596	2414
99	601	2406
100	607	2398
101	613	2391
102	618	2384
103	624	2376
104	629	2369
105	635	2362
106	641	2354
107	646	2347
108	652	2339
109	658	2333
110	663	2325
111	669	2318
112	674	2311
113	680	2303
114	685	2296
115	691	2289
116	697	2282
117	702	2275
118	708	2268
119	714	2261
120	719	2254
121	725	2248
122	731	2241
123	737	2234
124	742	2228
125	748	2221
126	754	2215
127	759	2208
128	765	2201
129	771	2195
130	777	2188
131	782	2182
132	788	2175
133	794	2169
134	800	2163
135	806	2157
136	812	2152
137	818	2146
138	824	2140
139	829	2133
140	835	2127
141	841	2121
142	847	2114
143	852	2108
144	858	2102
145	864	2096
146	870	2090
147	876	2083
148	881	2077
149	887	2071
150	893	2065
151	899	2059
152	905	2053
153	911	2048
154	918	2045
155	926	2042
156	932	2036
157	938	2030
158	943	2024
159	949	2018
160	955	2012
161	961	2006
162	967	2000
163	973	1994
164	979	1989
165	985	1983
166	991	1977
167	997	1971
168	1003	1965
169	1009	1960
170	1016	1955
171	1022	1949
172	1028	1943
173	1034	1937
174	1040	1932
175	1046	1927
176	1052	1921
177	1059	1915
178	1065	1910
179	1071	1904
180	1077	1898
181	1083	1892
182	1089	1886
183	1095	1881
184	1101	1875
185	1107	1869
186	1113	1863
187	1119	1857
188	1125	1851
189	1131	1845
190	1137	1839
191	1143	1833
192	1149	1827
193	1154	1821
194	1160	1815
195	1166	1809
196	1172	1803
197	1178	1797
198	1184	1791
199	1190	1785
200	1196	1779
201	1201	1773
202	1207	1767
203	1213	1761
204	1220	1756
205	1226	1750
206	1232	1744
207	1238	1738
208	1244	1732
209	1250	1726
210	1256	1720
211	1261	1714
212	1267	1708
213	1273	1702
214	1279	1696
215	1285	1689
216	1290	1683
217	1296	1677
218	1303	1672
219	1309	1666
220	1315	1660
221	1322	1655
222	1327	1649
223	1333	1643
224	1339	1636
225	1344	1630
226	1350	1624
227	1356	1618
228	1362	1612
229	1368	1605
230	1373	1599
231	1379	1593
232	1385	1587
233	1391	1581
234	1396	1575
235	1402	1569
236	1408	1563
237	1414	1557
238	1420	1551
239	1426	1545
240	1431	1538
241	1437	1532
242	1443	1527
243	1449	1520
244	1455	1514
245	1461	1508
246	1467	1502
247	1473	1496
248	1478	1490
249	1484	1484
250	1490	1478
251	1496	1472
252	1502	1466
253	1507	1460
254	1513	1454
255	1519	1448
256	1525	1442
257	1531	1436
258	1536	1430
259	1542	1424
260	1548	1418
261	1554	1412
262	1560	1406
263	1566	1400
264	1572	1394
265	1578	1388
266	1584	1382
267	1590	1376
268	1595	1370
269	1601	1364
270	1607	1358
271	1613	1352
272	1619	1346
273	1625	1340
274	1630	1334
275	1636	1328
276	1642	1322
277	1648	1316
278	1654	1310
279	1660	1304
280	1665	1298
281	1671	1292
282	1677	1286
283	1683	1280
284	1689	1274
285	1694	1268
286	1700	1262
287	1706	1256
288	1712	1249
289	1717	1243
290	1723	1237
291	1729	1231
292	1734	1225
293	1740	1219
294	1746	1213
295	1752	1207
296	1757	1201
297	1763	1195
298	1769	1189
299	1774	1183
300	1780	1177
301	1786	1171
302	1792	1165
303	1797	1159
304	1803	1152
305	1809	1146
306	1814	1140
307	1820	1135
308	1826	1129
309	1832	1123
310	1838	1117
311	1844	1111
312	1850	1105
313	1855	1099
314	1861	1093
315	1867	1087
316	1873	1081
317	1879	1075
318	1885	1069
319	1891	1063
320	1898	1058
321	1906	1053
322	1912	1048
323	1918	1042
324	1924	1036
325	1931	1030
326	1937	1024
327	1943	1018
328	1949	1013
329	1955	1007
330	1961	1001
331	1967	995
332	1973	989
333	1979	983
334	1985	977
335	1991	972
336	1997	966
337	2003	960
338	2009	954
339	2015	948
340	2021	942
341	2027	936
342	2033	930
343	2039	925
344	2045	919
345	2051	913
346	2057	907
347	2063	901
348	2069	895
349	2075	889
350	2081	883
351	2087	877
352	2093	871
353	2099	865
354	2105	859
355	2115	855
356	2121	849
357	2127	843
358	2133	837
359	2139	831
360	2144	825
361	2150	819
362	2156	813
363	2161	807
364	2167	801
365	2173	795
366	2181	790
367	2186	784
368	2192	778
369	2198	772
370	2204	766
371	2209	760
372	2215	754
373	2221	748
374	2226	742
375	2232	736
376	2238	730
377	2244	724
378	2250	718
379	2256	712
380	2262	706
381	2268	700
382	2273	694
383	2279	688
384	2285	682
385	2291	676
386	2297	670
387	2303	664
388	2309	658
389	2315	653
390	2321	647
391	2326	641
392	2332	635
393	2338	629
394	2344	623
395	2350	617
396	2356	611
397	2362	605
398	2368	599
399	2374	593
400	2380	587
401	2386	581
402	2391	575
403	2397	569
404	2403	563
405	2409	557
406	2415	551
407	2421	545
408	2427	539
409	2433	534
410	2438	528
411	2444	522
412	2450	516
413	2456	510
414	2462	504
415	2468	498
416	2474	492
417	2480	486
418	2485	480
419	2491	474
420	2497	468
421	2503	462
422	2509	456
423	2514	450
424	2520	444
425	2526	438
426	2531	432
427	2537	426
428	2543	420
429	2549	414
430	2555	409
431	2560	403
432	2566	397
433	2572	391
434	2578	385
435	2583	379
436	2589	373
437	2595	367
438	2601	361
